epoch,train_loss,train_acc,train_f1,train_auc,train_parity,train_equality,val_loss,val_acc,val_f1,val_auc,val_parity,val_equality,test_loss,test_acc,test_f1,test_auc,test_parity,test_equality
1,0.7996493577957153,0.47,0.0,0.5601605780810919,0.0,0.0,1.136236548423767,0.45263157894736844,0.0,0.5469883021562608,0.0,0.0,1.0825830698013306,0.47427903351519873,0.0,0.5705927821393613,0.0,0.0
2,1.0630323886871338,0.626,0.6517690875232774,0.6806101967081493,0.01775699351056448,0.014880952380952328,0.6666335463523865,0.6249512670565303,0.6603107344632769,0.6863293260795414,0.0009894593675620067,0.020845175500923685,0.6672960519790649,0.6204208885424786,0.6424375917767988,0.6832292461685304,0.058808388663020295,0.04421406685557627
3,0.7284298539161682,0.53,0.6928104575163399,0.5764913689281413,0.0,0.0,0.713284432888031,0.5473684210526316,0.707482993197279,0.5954830053667263,0.0,0.0,0.7328096628189087,0.5257209664848013,0.6891443167305237,0.5754611133479073,0.0,0.0
4,0.7699313163757324,0.53,0.6928104575163399,0.617374548374147,0.0,0.0,0.6742785573005676,0.5473684210526316,0.707482993197279,0.631248604332153,0.0,0.0,0.6844271421432495,0.5257209664848013,0.6891443167305237,0.6138129647147252,0.0,0.0
5,0.7100151777267456,0.53,0.6928104575163399,0.6472099558410278,0.0,0.0,0.6691538691520691,0.5489278752436647,0.7080494574817058,0.6573018887833704,0.0017851071064263202,0.0011013215859030367,0.672552764415741,0.5249415432579891,0.687995904786281,0.6453765624495579,0.0032980068313070987,0.0029972124311746784
6,0.6708201169967651,0.572,0.6503267973856208,0.6682617422721798,0.04613768447449129,0.02929505135387489,0.6639325022697449,0.5906432748538012,0.6670894102726695,0.6717291066989602,0.03635838150289017,0.044745630240159096,0.6649349927902222,0.5802805923616524,0.6502111075024358,0.6703915922991133,0.07027991459241278,0.06751215241781283
7,0.6680918335914612,0.594,0.6506024096385542,0.6717302288237657,0.01091174028702624,0.017331932773109182,0.6571131348609924,0.5992202729044834,0.6620644312952005,0.6733284500295698,0.03595715742944572,0.060013144806025376,0.6582600474357605,0.5900233826968043,0.6431478968792402,0.6714350019156586,0.08654960497365949,0.08560831202340646
8,0.6628406047821045,0.624,0.6556776556776556,0.6772059413890005,0.01404632406513151,0.02083333333333337,0.6499579548835754,0.6167641325536063,0.6587990281152378,0.6786467113771162,0.022516150969058124,0.04595353133437552,0.6511499881744385,0.6095089633671084,0.6390489913544668,0.6767702178125189,0.07990159278000397,0.08550233833252696
9,0.6671125292778015,0.65,0.6464646464646465,0.6856041750301084,0.007285789322082736,0.005835667600373462,0.6460235118865967,0.6444444444444445,0.6519083969465649,0.6845729317736209,0.0001292077524651658,0.02276360665056132,0.645734429359436,0.6500389711613406,0.6433677521842732,0.6852131253985879,0.04991533989164809,0.0738544474393531
10,0.6500099301338196,0.648,0.6437246963562752,0.6867763950220794,0.004049543367390163,0.01237161531279174,0.6374420523643494,0.6444444444444445,0.6527037319116527,0.6859158403086052,0.0019143148588915415,0.022577092511013253,0.6374363899230957,0.647310989867498,0.6418678274633954,0.6860951202174775,0.05433586501181342,0.07263344621835188
11,0.6375865340232849,0.618,0.6508226691042048,0.6732717784022482,0.03622562225723913,0.04283380018674132,0.6310130953788757,0.6191033138401559,0.6629872369782684,0.6796405495802569,0.034603876232573993,0.0545598266306665,0.6344459652900696,0.6063912704598597,0.6392857142857143,0.6770339635007642,0.07667898381870708,0.08816550325984285
12,0.6531195640563965,0.656,0.630901287553648,0.6932476916900843,0.010318710923600871,0.028944911297852483,0.6335622668266296,0.6518518518518519,0.635063342868819,0.6907347286330922,0.023954437266235973,0.007780304106863811,0.6311952471733093,0.6531566640685893,0.6238377007607776,0.6926890669798318,0.0608740303086438,0.07164051881033007
13,0.6527703404426575,0.626,0.531328320802005,0.7036852669610597,0.03229468476253411,0.06495098039215685,0.6481112837791443,0.6155945419103314,0.5250481695568401,0.6904077435946514,0.006314178850731045,0.0016697456302401936,0.641120195388794,0.6254871395167576,0.5158690176322418,0.6987734911827929,0.03218449078813526,0.03680742737346515
14,0.6543119549751282,0.634,0.5481481481481482,0.7041348855881171,0.029820905132245557,0.047735760971055086,0.6423487663269043,0.6214424951267057,0.5387173396674584,0.690990549948345,0.0076742604556273575,0.0009592155748188169,0.6358932852745056,0.6305533904910366,0.5306930693069307,0.6991057620209864,0.03214094201838799,0.035473541133918485
