epoch,train_loss,train_acc,train_f1,train_auc,train_parity,train_equality,val_loss,val_acc,val_f1,val_auc,val_parity,val_equality,test_loss,test_acc,test_f1,test_auc,test_parity,test_equality
1,0.7902171015739441,0.48,0.007633587786259542,0.603215825838824,0.0031446540880503146,0.006134969325153374,1.044319748878479,0.4612085769980507,0.0014450867052023123,0.5991572796576266,0.0010604453870625664,0.0018484288354898336,1.0543111562728882,0.4512860483242401,0.0,0.6158676303187314,0.0,0.0
2,1.0986597537994385,0.596,0.6231343283582089,0.6504592891838599,0.10280599903241416,0.15187179166144993,0.648891806602478,0.6128654970760234,0.6586455826744585,0.6755728553024213,0.07710588632182358,0.08577192759076402,0.6446781754493713,0.6266562743569758,0.668052668052668,0.6881280420788192,0.04122753809993174,0.04427323817313533
3,0.6909789443016052,0.522,0.6859395532194481,0.6127703233459978,0.0,0.0,0.7069951891899109,0.5391812865497077,0.7006079027355624,0.6306081949904142,0.0,0.0,0.696625292301178,0.54871395167576,0.7086059386009059,0.6339121869602763,0.0,0.0
4,0.7724788188934326,0.522,0.6851119894598156,0.6352458359383767,0.0062893081761006275,0.006134969325153339,0.6665306687355042,0.541130604288499,0.7013448363359552,0.6513776789220814,0.0023922131142182224,0.001187648456057011,0.660241961479187,0.54871395167576,0.7083123425692697,0.6592699992149473,0.0006241673255852342,0.002207505518763808
5,0.6882300972938538,0.632,0.640625,0.6733195466422994,0.06596862257239611,0.10492049580568419,0.6580731272697449,0.6296296296296297,0.6624022743425728,0.6876557619535255,0.09207438024093428,0.10147040099051197,0.6554188132286072,0.6348402182385036,0.6640372893510219,0.6989795542863871,0.06548341150092607,0.07692848913397188
6,0.6716180443763733,0.62,0.4864864864864865,0.6955065005851329,0.028716566452415493,0.06873669713284086,0.6674522757530212,0.6148148148148148,0.49019607843137253,0.6982497158510461,0.04017858894077064,0.04915459626538343,0.6664793491363525,0.6200311769290725,0.5078243311458859,0.7082496148335689,0.024802866024717568,0.042298795986033755
7,0.669109046459198,0.61,0.45378151260504207,0.690007855207682,0.017762112101734756,0.02591711531238261,0.6681262254714966,0.5964912280701754,0.4491750931346461,0.6933729979580426,0.026244388857870254,0.03619803214773376,0.6671109199523926,0.6048324240062354,0.471875,0.7055310635500079,0.010436185999155162,0.01699603352594037
8,0.6692093014717102,0.644,0.5658536585365853,0.6807419163500538,0.03251779666874005,0.0726180042569175,0.6578847169876099,0.6467836257309941,0.5847846012832264,0.6938856283637548,0.05576687461508184,0.06809330833637017,0.655996561050415,0.6547155105222136,0.6012601260126013,0.705491197597739,0.030190201791536198,0.06140559176099136
9,0.6669560670852661,0.65,0.6478873239436619,0.6626909697173728,0.05266431681526018,0.1069863528233379,0.6442055702209473,0.6444444444444445,0.6619718309859156,0.6871614834716457,0.0713577754444783,0.07492283577961101,0.6403748393058777,0.656664068589244,0.6699138254027726,0.6988691562647198,0.039043629431452676,0.059620238692030925
10,0.655458927154541,0.57,0.6194690265486725,0.6511486237355519,0.1584767433824038,0.16814824089144853,0.6383143067359924,0.5988304093567252,0.6668824862415021,0.6805437797377631,0.08016561777154785,0.09134355750106471,0.6318306922912598,0.6122369446609509,0.6745175008177953,0.6915730736771863,0.05319503265708436,0.038429065196168954
11,0.6578407287597656,0.586,0.6187845303867403,0.657785472675099,0.10671089916372933,0.12939777137849007,0.6325676441192627,0.6097465886939571,0.6614812309773419,0.683040864840528,0.08105215534544241,0.08934365409354539,0.6253300309181213,0.6293842556508183,0.6753158074428132,0.6950775975427854,0.04711177063137029,0.03834991161183088
12,0.6481707096099854,0.662,0.6471816283924843,0.6748104329982847,0.031515654157163564,0.09477901590083881,0.6253107786178589,0.6635477582846004,0.6661508704061896,0.6922198854105875,0.0672382523964627,0.07953073616642015,0.6194390058517456,0.6675759937646142,0.6705291618385477,0.7066847228764327,0.02199614397279115,0.044976825589474356
